_id,time,x,y,z,__v
65731393f0fd7e0ab164482d,1702040467560,2.758,4.359,-0.357,0
65731393f0fd7e0ab1644832,1702040467741,2.758,4.359,-0.357,0
65731393f0fd7e0ab1644838,1702040467925,2.758,4.359,-0.357,0
65731394f0fd7e0ab1644841,1702040468114,2.758,4.359,-0.357,0
65731394f0fd7e0ab1644849,1702040468283,2.758,4.359,-0.357,0
65731394f0fd7e0ab1644852,1702040468453,2.758,4.359,-0.357,0
65731394f0fd7e0ab164485a,1702040468624,2.758,4.359,-0.357,0
65731394f0fd7e0ab1644863,1702040468783,2.758,4.359,-0.357,0
65731394f0fd7e0ab164486d,1702040468964,2.758,4.359,-0.357,0
65731395f0fd7e0ab1644878,1702040469124,2.758,4.359,-0.357,0
65731395f0fd7e0ab1644884,1702040469288,2.758,4.359,-0.357,0
65731395f0fd7e0ab164488f,1702040469456,2.758,4.359,-0.357,0
65731395f0fd7e0ab164489c,1702040469631,2.758,4.359,-0.357,0
65731395f0fd7e0ab16448a9,1702040469803,2.758,4.359,-0.357,0
65731395f0fd7e0ab16448b0,1702040469969,2.758,4.359,-0.357,0
65731396f0fd7e0ab16448b5,1702040470135,2.758,4.359,-0.357,0
65731396f0fd7e0ab16448be,1702040470397,2.758,4.359,-0.357,0
65731396f0fd7e0ab16448c2,1702040470592,4.101,4.127,0.244,0
65731396f0fd7e0ab16448d2,1702040470963,4.101,4.127,0.244,0
65731397f0fd7e0ab16448e1,1702040471222,3.985,4.227,0.271,0
65731397f0fd7e0ab16448ee,1702040471415,3.985,4.227,0.271,0
65731397f0fd7e0ab16448fa,1702040471611,3.955,4.287,0.052,0
65731397f0fd7e0ab1644903,1702040471784,3.955,4.287,0.052,0
65731397f0fd7e0ab164490f,1702040471976,3.955,4.287,0.052,0
65731398f0fd7e0ab164491a,1702040472172,3.911,4.341,-0.132,0
65731398f0fd7e0ab1644927,1702040472348,3.911,4.341,-0.132,0
65731398f0fd7e0ab1644935,1702040472531,3.911,4.341,-0.132,0
65731398f0fd7e0ab1644941,1702040472716,3.746,4.359,-0.123,0
65731398f0fd7e0ab164494b,1702040472872,3.746,4.359,-0.123,0
65731399f0fd7e0ab1644957,1702040473044,3.746,4.359,-0.123,0
65731399f0fd7e0ab1644962,1702040473218,3.615,4.314,-0.281,0
65731399f0fd7e0ab1644969,1702040473381,3.615,4.314,-0.281,0
65731399f0fd7e0ab1644970,1702040473545,3.615,4.314,-0.281,0
65731399f0fd7e0ab1644974,1702040473715,3.615,4.314,-0.281,0
65731399f0fd7e0ab1644976,1702040473891,3.615,4.314,-0.281,0
6573139af0fd7e0ab1644979,1702040474069,3.615,4.314,-0.281,0
6573139af0fd7e0ab164497c,1702040474247,3.615,4.314,-0.281,0
6573139af0fd7e0ab164497f,1702040474416,3.615,4.314,-0.281,0
6573139af0fd7e0ab1644982,1702040474576,3.615,4.314,-0.281,0
6573139af0fd7e0ab1644985,1702040474748,3.615,4.314,-0.281,0
6573139af0fd7e0ab1644988,1702040474905,3.615,4.314,-0.281,0
6573139bf0fd7e0ab164498b,1702040475079,3.615,4.314,-0.281,0
6573139bf0fd7e0ab164498e,1702040475247,3.615,4.314,-0.281,0
6573139bf0fd7e0ab1644998,1702040475419,3.615,4.314,-0.281,0
6573139bf0fd7e0ab16449a1,1702040475599,3.37,4.329,-0.429,0
6573139bf0fd7e0ab16449ac,1702040475761,3.37,4.329,-0.429,0
6573139bf0fd7e0ab16449b6,1702040475937,3.37,4.329,-0.429,0
6573139cf0fd7e0ab16449c1,1702040476121,2.305,4.195,-0.562,0
6573139cf0fd7e0ab16449cc,1702040476285,2.305,4.195,-0.562,0
6573139cf0fd7e0ab16449da,1702040476444,2.305,4.195,-0.562,0
6573139cf0fd7e0ab16449e5,1702040476614,2.01,4.251,-0.608,0
6573139cf0fd7e0ab16449f1,1702040476782,2.01,4.251,-0.608,0
6573139cf0fd7e0ab16449fe,1702040476946,1.699,4.35,0.049,0
6573139df0fd7e0ab1644a09,1702040477125,1.699,4.35,0.049,0
6573139df0fd7e0ab1644a14,1702040477288,1.699,4.35,0.049,0
6573139df0fd7e0ab1644a1e,1702040477453,1.469,4.3,0.153,0
6573139df0fd7e0ab1644a29,1702040477624,1.469,4.3,0.153,0
6573139df0fd7e0ab1644a36,1702040477810,1.469,4.3,0.153,0
6573139df0fd7e0ab1644a42,1702040477995,1.002,4.437,0.289,0
6573139ef0fd7e0ab1644a4d,1702040478183,1.002,4.437,0.289,0
6573139ef0fd7e0ab1644a59,1702040478374,1.002,4.437,0.289,0
6573139ef0fd7e0ab1644a64,1702040478557,0.998,4.363,0.028,0
6573139ef0fd7e0ab1644a6d,1702040478726,0.998,4.363,0.028,0
6573139ef0fd7e0ab1644a79,1702040478916,0.998,4.363,0.028,0
6573139ff0fd7e0ab1644a84,1702040479101,0.831,4.36,0.061,0
6573139ff0fd7e0ab1644a92,1702040479292,0.831,4.36,0.061,0
6573139ff0fd7e0ab1644aa1,1702040479481,0.749,4.281,-0.088,0
